Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
CONFIRMED,3.48456408,3.44,9.91,494.0,3207.0,0.2932,63.2739346,15.2477027
CONFIRMED,3.484552,3.43,,,3180.0,0.295,63.2739346,15.2477027
CONFIRMED,3.4843,,,,3204.0,0.290216,63.2739346,15.2477027
CONFIRMED,3.48455432425,4.20831932,9.5041,447.81,3204.0,0.290216,63.2739346,15.2477027
CONFIRMED,3.48456248,,,,3180.0,0.295,63.2739346,15.2477027
CONFIRMED,4.01457,2.44,,958.0,5172.0,0.81,185.0315429,-8.9757427
CONFIRMED,4.01392,2.71257333,,1003.0,5003.0,0.797,185.0315429,-8.9757427
CONFIRMED,9.30075,2.35,,437.0,3717.0,0.49,190.6892403,-8.5359826
CONFIRMED,13.81513,1.74,,639.0,5152.0,0.82,182.3663818,-8.3096141
CONFIRMED,4.00167,12.67,,1238.0,6027.0,1.1,186.0853062,-6.3789537
CONFIRMED,4.00357732994,12.96278785,365.8185,1115.41,5318.0,1.08492,186.0853062,-6.3789537
CONFIRMED,4.09639,1.63,,791.0,4629.0,0.67,185.5507926,-4.7172908
CONFIRMED,12.11839,2.19,,551.0,4629.0,0.67,185.5507926,-4.7172908
CONFIRMED,1.96417,2.9,,1034.0,4676.0,0.69,189.9128532,-3.3705631
REFUTED,5.52011,2.63,,845.0,5219.0,0.78,186.2270991,-2.0660477
CONFIRMED,1.60588,0.83,,789.0,3725.0,0.5,188.278284,-1.9532879
CONFIRMED,19.0921,3.0,,831.0,6351.0,1.31,187.6314027,-1.1609171
CONFIRMED,15.48043,2.32,,795.0,6059.0,1.13,186.8026947,1.5668631
CONFIRMED,15.482399,2.09663798,,,5928.0,1.077775,186.8026947,1.5668631
CONFIRMED,,3.55068952,0.0279,104.26,3683.0,0.515263,94.2064312,24.5958335
CONFIRMED,14.567025,2.79,,,3731.0,0.51,94.2064312,24.5958335
CONFIRMED,14.5662,2.58,5.28,,3769.0,0.51,94.2064312,24.5958335
CONFIRMED,14.568101,2.47,,,,0.52,94.2064312,24.5958335
CONFIRMED,14.56594,,,,3683.0,0.515263,94.2064312,24.5958335
CONFIRMED,14.5665,2.67,5.8,430.0,3785.0,0.52,94.2064312,24.5958335
CONFIRMED,2.62669768,,,,6367.0,1.69,76.8673317,16.8676948
CONFIRMED,2.6266974,,,,6367.0,1.69,76.8673317,16.8676948
CONFIRMED,2.6266658,,,,6367.0,1.69,76.8673317,16.8676948
CONFIRMED,2.6266983,18.7969,2520.03,1973.0,6475.0,1.77,76.8673317,16.8676948
CONFIRMED,2.62669762,18.41635529,,2090.0,6860.0,1.755,76.8673317,16.8676948
CONFIRMED,2.6266657,17.396368,,1957.0,6367.0,1.69,76.8673317,16.8676948
CONFIRMED,11.63344,9.52763359,,,5537.0,1.669,163.0323119,0.493167
CONFIRMED,11.63395,10.32,212.0,973.0,5478.0,1.679,163.0323119,0.493167
CONFIRMED,11.63345,,,,5537.0,1.65,163.0323119,0.493167
CONFIRMED,11.6334758,,,,5537.0,1.65,163.0323119,0.493167
CONFIRMED,11.63344,9.52765,,1080.0,5537.0,1.65,163.0323119,0.493167
CONFIRMED,11.633478,9.50521563,180.0,1030.0,5503.0,1.641,163.0323119,0.493167
CONFIRMED,11.633478,9.52763359,180.0,1046.0,5445.0,1.642,163.0323119,0.493167
CONFIRMED,11.6332127,10.264,126.951,935.0,5287.7,1.73,163.0323119,0.493167
CONFIRMED,11.6334681,9.26982704,,1036.0,5490.0,1.663,163.0323119,0.493167
CONFIRMED,11.633482,,,,,,163.0323119,0.493167
CONFIRMED,50.818947,2.41,8.17,470.0,5368.0,0.85,129.6821253,15.6806039
CONFIRMED,50.8213,2.18,,,,0.879,129.6821253,15.6806039
CONFIRMED,50.819331,2.16538589,,,5410.0,0.837459,129.6821253,15.6806039
CONFIRMED,50.818947,2.41,,470.0,5368.0,0.85,129.6821253,15.6806039
CONFIRMED,5.83977,2.27,,489.0,3580.0,0.473,131.3583524,19.698401
CONFIRMED,5.840002,2.231,,496.0,3660.0,0.473,131.3583524,19.698401
CONFIRMED,19.66365,2.77,,326.0,3580.0,0.473,131.3583524,19.698401
CONFIRMED,19.660302,2.668,,331.0,3660.0,0.473,131.3583524,19.698401
CONFIRMED,2.36906,1.676,592.0,1257.0,5435.0,0.924,342.0316493,-14.4947789
CONFIRMED,2.369019,1.67,,,,0.914,342.0316493,-14.4947789
CONFIRMED,2.369172,1.71,,,5477.0,0.977,342.0316493,-14.4947789
CONFIRMED,2.369193,1.62,,,5481.0,0.91,342.0316493,-14.4947789
CONFIRMED,2.36840828,,,,5394.0,0.930331,342.0316493,-14.4947789
CONFIRMED,2.3690438,1.63,,,5261.0,0.81,342.0316493,-14.4947789
CONFIRMED,2.369008,1.66165565,,,5509.0,0.889069,342.0316493,-14.4947789
CONFIRMED,2.36902,1.70824866,,1366.0,5420.0,0.92,342.0316493,-14.4947789
CONFIRMED,0.658524,3.3,879.5,1515.0,4285.0,0.703,157.9356855,0.9372782
CONFIRMED,7.814,0.705,32.4,664.5,4285.0,0.703,157.9356855,0.9372782
CONFIRMED,14.697,2.93,13.95,538.3,4285.0,0.703,157.9356855,0.9372782
CONFIRMED,14.69808003166,3.17788403,16.3607,512.94,4362.0,0.733789,157.9356855,0.9372782
CONFIRMED,14.6982,,,,4285.0,0.703,157.9356855,0.9372782
CONFIRMED,19.482,2.73,9.581,490.1,4285.0,0.703,157.9356855,0.9372782
CONFIRMED,19.48348329613,3.54834332,11.2355,466.95,4362.0,0.733789,157.9356855,0.9372782
CONFIRMED,2.151676,1.5,,1136.0,5106.0,0.78,133.7094899,11.8482712
CONFIRMED,2.151894,1.41,,1121.0,5068.0,0.78,133.7094899,11.8482712
CONFIRMED,2.15228,1.61,,,,0.773,133.7094899,11.8482712
CONFIRMED,9.3261,3.1,,,,0.78,133.7094899,11.8482712
CONFIRMED,9.32705,3.63,,,,0.773,133.7094899,11.8482712
CONFIRMED,9.327527,2.69,,696.0,5106.0,0.78,133.7094899,11.8482712
CONFIRMED,9.325429,2.14,,,,0.713,133.7094899,11.8482712
CONFIRMED,9.325,,,,5035.99,0.801255,133.7094899,11.8482712
CONFIRMED,9.33155684,,,,5035.99,0.801255,133.7094899,11.8482712
CONFIRMED,9.326841,2.69,,688.0,5068.0,0.78,133.7094899,11.8482712
CONFIRMED,4.52905,1.85,,,,0.773,133.7094899,11.8482712
CONFIRMED,4.528598,1.49,,888.0,5106.0,0.78,133.7094899,11.8482712
CONFIRMED,6.13174,1.72,,,,0.773,133.7094899,11.8482712
CONFIRMED,6.131243,1.33,,801.0,5106.0,0.78,133.7094899,11.8482712
CONFIRMED,26.27057,2.23,,492.0,5106.0,0.78,133.7094899,11.8482712
CONFIRMED,26.2678,2.6,,,,0.773,133.7094899,11.8482712
CONFIRMED,4.144,,,,6177.44,1.49612,130.1551381,13.0146799
CONFIRMED,4.144965,1.57,,1429.0,6209.0,1.45,130.1551381,13.0146799
CONFIRMED,4.145398,1.1956395,,,6035.0,1.309274,130.1551381,13.0146799
CONFIRMED,4.144937,1.4,,,,1.28,130.1551381,13.0146799
CONFIRMED,6.771315,5.36,216.0,,5797.0,1.03,171.5151874,1.2306237
CONFIRMED,6.77131,5.77,,991.0,5422.0,0.88,171.5151874,1.2306237
CONFIRMED,6.771347,4.74,116.0,836.0,5246.0,0.876,171.5151874,1.2306237
CONFIRMED,6.771315,4.48,116.0,902.0,5248.0,0.885,171.5151874,1.2306237
CONFIRMED,6.77093147,,,,5231.0,0.89254,171.5151874,1.2306237
CONFIRMED,6.77145,4.45,,,5320.0,0.85,171.5151874,1.2306237
CONFIRMED,6.771389,4.58049508,,,5368.0,0.855055,171.5151874,1.2306237
CONFIRMED,6.7713411,5.07965,144.17,965.0,5231.0,0.89,171.5151874,1.2306237
CONFIRMED,6.771375,5.05,,,,0.932,171.5151874,1.2306237
CONFIRMED,6.7714021,4.68,,,5247.0,0.81,171.5151874,1.2306237
CONFIRMED,1.543452,1.3,,,,0.735,131.2665588,13.5497322
CONFIRMED,1.543069,1.38,,1203.0,4877.0,0.77,131.2665588,13.5497322
CONFIRMED,1.543041,1.5,,,,0.82,131.2665588,13.5497322
CONFIRMED,4.399739,3.01,,,,0.735,131.2665588,13.5497322
CONFIRMED,4.400037,3.3,,,,0.82,131.2665588,13.5497322
CONFIRMED,4.39883617,,,,4712.91,0.826001,131.2665588,13.5497322
CONFIRMED,4.4,,,,4712.91,0.826001,131.2665588,13.5497322
CONFIRMED,4.400028,2.95,,848.0,4877.0,0.77,131.2665588,13.5497322
CONFIRMED,4.399871,2.8,,,4810.0,0.772,131.2665588,13.5497322
CONFIRMED,8.56222,6.89,,,,0.928,125.2239144,16.0907958
CONFIRMED,8.56232889439,6.92239107,133.8067,867.44,5545.3,1.02304,125.2239144,16.0907958
CONFIRMED,8.562421,7.28,,893.0,5644.0,0.99,125.2239144,16.0907958
CONFIRMED,8.56394776,,,,5545.28,1.02304,125.2239144,16.0907958
CONFIRMED,8.562,,,,5545.28,1.02304,125.2239144,16.0907958
CONFIRMED,8.562405,6.0,,,,0.83,125.2239144,16.0907958
CONFIRMED,14.454034,3.2,,,5490.0,0.802,132.6211743,17.5423852
CONFIRMED,14.453533,2.91,,655.0,5419.0,0.81,132.6211743,17.5423852
CONFIRMED,14.45182127,,,,5363.56,0.817851,132.6211743,17.5423852
CONFIRMED,14.452,,,,5363.56,0.817851,132.6211743,17.5423852
CONFIRMED,14.4536756,3.13,,747.0,5397.0,0.83,132.6211743,17.5423852
CONFIRMED,14.453513,2.7,,,,0.74,132.6211743,17.5423852
CONFIRMED,14.45107,2.96,,,,0.802,132.6211743,17.5423852
CONFIRMED,11.71571445,,,,5051.83,0.86968,129.7768928,19.0100046
CONFIRMED,11.72,,,,5051.83,0.86968,129.7768928,19.0100046
CONFIRMED,11.722228,2.7,,,,0.799,129.7768928,19.0100046
CONFIRMED,11.722103,2.8,,,5170.0,0.838,129.7768928,19.0100046
CONFIRMED,11.7195663,3.05,,849.0,5161.0,0.85,129.7768928,19.0100046
CONFIRMED,11.716332,4.42,,672.0,5200.0,0.84,129.7768928,19.0100046
CONFIRMED,11.71885,3.34,,,,0.872,129.7768928,19.0100046
CONFIRMED,11.716603,4.2,,,,0.86,129.7768928,19.0100046
CONFIRMED,14.130142,2.41,,,,0.794,129.2823699,20.3992512
CONFIRMED,14.133427,2.32120418,,,5098.0,0.747608,129.2823699,20.3992512
CONFIRMED,14.1330314,2.08,,655.0,5044.0,0.7,129.2823699,20.3992512
CONFIRMED,14.13168,2.18,,,,0.7209,129.2823699,20.3992512
CONFIRMED,14.11544241,,,,5024.37,0.734473,129.2823699,20.3992512
CONFIRMED,14.129714,2.2,,589.0,5065.0,0.74,129.2823699,20.3992512
CONFIRMED,14.129,,,,5024.37,0.734473,129.2823699,20.3992512
CONFIRMED,14.130184,2.2,,,,0.74,129.2823699,20.3992512
CONFIRMED,3.280961,2.24,,905.0,4812.0,0.73,132.1698795,20.4550162
CONFIRMED,3.28046294,,,,4783.55,0.735345,132.1698795,20.4550162
CONFIRMED,3.28102986099,2.50448263,161.2476,908.85,4783.6,0.735345,132.1698795,20.4550162
CONFIRMED,3.280948,2.26,,,,0.704,132.1698795,20.4550162
CONFIRMED,3.2809626,2.34,,1166.0,4841.0,0.69,132.1698795,20.4550162
CONFIRMED,3.280926,2.3,,,,0.75,132.1698795,20.4550162
CONFIRMED,3.280858,2.128688,,,4822.0,0.727072,132.1698795,20.4550162
CONFIRMED,3.281,,,,4783.55,0.735345,132.1698795,20.4550162
CONFIRMED,8.4388385,2.21,,653.0,4841.0,0.69,132.1698795,20.4550162
CONFIRMED,8.43903,2.51,,,,0.704,132.1698795,20.4550162
CONFIRMED,8.438756,2.34,,660.0,4812.0,0.73,132.1698795,20.4550162
CONFIRMED,8.438,,,,4783.55,0.735345,132.1698795,20.4550162
CONFIRMED,8.43889970961,3.01612551,45.7572,663.34,4783.6,0.735345,132.1698795,20.4550162
CONFIRMED,8.438635,2.5,,,,0.75,132.1698795,20.4550162
CONFIRMED,18.718269,3.77,,583.0,5139.0,0.85,125.9528309,22.6339399
CONFIRMED,18.717631,3.2,,,,0.77,125.9528309,22.6339399
CONFIRMED,18.7132,3.63,,,,0.816,125.9528309,22.6339399
CONFIRMED,18.711,,,,4843.0,0.890703,125.9528309,22.6339399
CONFIRMED,6.32668003682,2.29015537,195.7304,953.97,5673.0,0.975383,202.0161895,-15.9379749
CONFIRMED,6.32677,2.23,195.0,953.0,5705.0,0.952,202.0161895,-15.9379749
CONFIRMED,6.326768,2.18575124,,1049.0,5680.0,0.973,202.0161895,-15.9379749
CONFIRMED,6.327,,,,5673.0,0.975383,202.0161895,-15.9379749
CONFIRMED,6.326796,2.2,,,,1.01,202.0161895,-15.9379749
CONFIRMED,6.326674,2.12171156,,,5733.0,0.946965,202.0161895,-15.9379749
CONFIRMED,6.326763,2.07,,958.0,5741.0,0.97,202.0161895,-15.9379749
CONFIRMED,6.3297696,,,,5673.0,0.975383,202.0161895,-15.9379749
CONFIRMED,6.32669,2.16,,,,0.974,202.0161895,-15.9379749
CONFIRMED,3.33253,3.63,,,,1.766,203.3018653,-14.5041057
CONFIRMED,3.335115,1.6,,,,0.9,203.3018653,-14.5041057
CONFIRMED,3.334966,2.98,,1711.0,6747.0,1.61,203.3018653,-14.5041057
CONFIRMED,3.333,,,,5557.0,1.70729,203.3018653,-14.5041057
CONFIRMED,7.122605,1.21,,879.0,5558.0,0.86,204.7792935,-6.0417592
CONFIRMED,7.12471,1.244,,,,0.857,204.7792935,-6.0417592
CONFIRMED,7.125,,,,5425.98,0.894218,204.7792935,-6.0417592
CONFIRMED,7.122297,1.0,,,,0.76,204.7792935,-6.0417592
CONFIRMED,2.260435,2.3,30.1,,3292.75,0.279867,335.6233145,-7.9563525
CONFIRMED,2.260455,2.32,,568.0,3214.0,0.288,335.6233145,-7.9563525
CONFIRMED,2.2604455,2.56,21.7,420.0,3214.0,0.288,335.6233145,-7.9563525
CONFIRMED,2.2604439,1.6,,,2997.0,0.18,335.6233145,-7.9563525
CONFIRMED,2.260404,1.52,,,,0.184,335.6233145,-7.9563525
CONFIRMED,2.260438,2.45,,590.0,3290.0,0.28,335.6233145,-7.9563525
CONFIRMED,2.26026548696,2.72623736,21.3031,547.94,3236.0,0.341024,335.6233145,-7.9563525
CONFIRMED,19.89526,7.5,,787.0,5500.0,1.28,291.5953596,-22.2477071
CONFIRMED,19.895202,7.67,,744.0,5742.0,1.28,291.5953596,-22.2477071
CONFIRMED,19.894641,5.55493874,,,5767.0,1.06414,291.5953596,-22.2477071
CONFIRMED,19.895,7.46,69.5,736.0,5741.0,1.279,291.5953596,-22.2477071
CONFIRMED,19.895268,8.5,,,,1.45,291.5953596,-22.2477071
CONFIRMED,19.89531,8.01,,,,1.367,291.5953596,-22.2477071
CONFIRMED,8.687708,8.1,,,,0.75,16.2274724,7.2692169
CONFIRMED,8.687812,7.36,,,,0.664,16.2274724,7.2692169
CONFIRMED,8.687721,8.18,,665.0,4812.0,0.76,16.2274724,7.2692169
CONFIRMED,4.169746,2.7,,,,0.93,13.4321524,7.9952914
CONFIRMED,4.169836,2.82,,1057.0,5523.0,0.94,13.4321524,7.9952914
CONFIRMED,4.17032,3.19,,,,1.013,13.4321524,7.9952914
CONFIRMED,4.169783,2.5,,,5499.0,1.0,13.4321524,7.9952914
CONFIRMED,1.921111,3.23,,,,0.709,13.1943679,9.6929181
CONFIRMED,1.921036,3.52,,1186.0,5060.0,0.82,13.1943679,9.6929181
CONFIRMED,1.921076,3.8,,,,0.86,13.1943679,9.6929181
CONFIRMED,4.795069,2.78,42.6,653.0,4140.0,0.607,79.1407971,20.2549034
CONFIRMED,4.7948599,,,,4140.0,0.607,79.1407971,20.2549034
CONFIRMED,4.7948642,3.3985,118.638,919.0,4072.0,0.65,79.1407971,20.2549034
CONFIRMED,3.471745,2.59,234.31,1088.9,4975.0,0.787,349.3843458,1.3001522
CONFIRMED,3.4715644,2.65245,304.054,1163.0,5144.5,0.77,349.3843458,1.3001522
CONFIRMED,7.1385672,3.60516,63.7967,787.0,5144.5,0.77,349.3843458,1.3001522
CONFIRMED,7.138048,3.53,50.35,741.4,4975.0,0.787,349.3843458,1.3001522
CONFIRMED,10.45582,2.48,24.61,619.9,4975.0,0.787,349.3843458,1.3001522
CONFIRMED,14.76289,1.95,10.5,500.9,4975.0,0.787,349.3843458,1.3001522
CONFIRMED,27.359,2.1,,347.0,3926.0,0.62,233.3698192,-16.7737113
CONFIRMED,14.893291,9.494023,,804.0,5695.0,1.07,233.0743401,-22.3583447
CONFIRMED,14.89329,9.33708092,,,5695.0,1.07,233.0743401,-22.3583447
CONFIRMED,31.3888,1.25,,,,0.312,55.4442857,18.2684913
CONFIRMED,31.393463,1.9,,226.36,3341.0,0.32,55.4442857,18.2684913
CONFIRMED,13.15628,3.2,,,3809.0,0.38,246.6429443,-15.7925384
CONFIRMED,13.15727,10.83,,,,1.24,246.6429443,-15.7925384
CONFIRMED,13.156974,5.19,,,3816.0,0.54,246.6429443,-15.7925384
CONFIRMED,13.156969,9.1,,753.0,5529.0,1.025,246.6429443,-15.7925384
CONFIRMED,3.258824,12.05607716,,,5392.0,0.857501,62.670422,24.4016558
CONFIRMED,3.2589263,11.209,,1076.0,5222.0,0.748,62.670422,24.4016558
CONFIRMED,3.25883406,,,,5358.0,0.86,62.670422,24.4016558
CONFIRMED,3.25883164155,12.87148683,284.4142,1047.39,5387.06,0.817114,62.670422,24.4016558
CONFIRMED,3.2591993,,,,5387.06,0.817114,62.670422,24.4016558
CONFIRMED,3.2588315,,,,5358.0,0.86,62.670422,24.4016558
CONFIRMED,3.2588321,13.33871,,1171.0,5358.0,0.86,62.670422,24.4016558
CONFIRMED,3.258813,11.38,,,,0.807,62.670422,24.4016558
CONFIRMED,3.258768,11.42,293.0,,5323.0,0.85,62.670422,24.4016558
CONFIRMED,,,,,,,234.8578846,-20.1988975
CONFIRMED,9.21165,3.06,,1230.0,6302.0,1.511,234.8578846,-20.1988975
CONFIRMED,48.36685,11.276254,,676.0,6302.0,1.511,234.8578846,-20.1988975
CONFIRMED,,,,,,,234.8578846,-20.1988975
CONFIRMED,2.225177,1.589,633.0,,5520.0,0.899,76.44594,21.548199
CONFIRMED,2.2251639,1.50436,348.601,1203.0,5509.0,0.92,76.44594,21.548199
CONFIRMED,2.225,1.582,,,5520.0,0.904,76.44594,21.548199
CONFIRMED,2.225177,1.589,633.0,1278.0,5520.0,0.934,76.44594,21.548199
CONFIRMED,16.9841,2.63,67.0,795.0,5725.0,1.09,205.3758786,-9.9460704
CONFIRMED,13.1225,2.45,,750.0,5532.0,0.947,351.6064952,-6.0279068
CONFIRMED,2.50387,1.66,,1425.0,5612.0,1.2,352.0516724,-7.6037856
CONFIRMED,4.0248883,9.56,,,,0.665,19.6101417,6.8167277
CONFIRMED,4.02488968,,,,4444.0,0.7,19.6101417,6.8167277
CONFIRMED,4.024881,10.3,,,,0.73,19.6101417,6.8167277
CONFIRMED,4.0248735,11.6786,97.8595,876.0,4492.0,0.75,19.6101417,6.8167277
CONFIRMED,4.024867,10.054473,,852.0,4444.0,0.7,19.6101417,6.8167277
CONFIRMED,10.054544,2.08,,,,0.561,172.3353708,-1.4551364
CONFIRMED,10.05460031054,2.11286662,11.5486,470.17,3920.0,0.550856,172.3353708,-1.4551364
CONFIRMED,10.05429,2.078,,,,0.553,172.3353708,-1.4551364
CONFIRMED,10.05448,1.98,,504.0,3951.0,0.52,172.3353708,-1.4551364
CONFIRMED,10.05449,2.18,10.9,463.0,3896.0,0.56,172.3353708,-1.4551364
CONFIRMED,10.05467,1.45,,,,0.371,172.3353708,-1.4551364
CONFIRMED,10.054626,2.14,11.0,463.0,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,10.05403,2.14,11.0,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,10.054374,2.4,,,3927.0,0.58,172.3353708,-1.4551364
CONFIRMED,10.054626,,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,10.054626,2.25,11.6,513.0,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,10.05403,2.14,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,10.0546535,2.078,10.5,501.3,3844.0,0.546,172.3353708,-1.4551364
CONFIRMED,10.05443,1.44,5.8,,3841.0,0.371,172.3353708,-1.4551364
CONFIRMED,10.05454,2.29,,,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,10.05176778,,,,3920.0,0.550856,172.3353708,-1.4551364
CONFIRMED,24.6435,1.18,1.77,,3841.0,0.371,172.3353708,-1.4551364
CONFIRMED,24.64671,1.18,,,,0.371,172.3353708,-1.4551364
CONFIRMED,24.646729,1.582,3.17,371.8,3844.0,0.546,172.3353708,-1.4551364
CONFIRMED,24.646582,1.69,3.51,381.0,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,24.64638,1.77,,,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,24.646582,,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,24.646582,1.72,3.0,344.0,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,24.6454,1.72,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,24.6454,1.72,3.32,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,24.64638,1.69,,,,0.561,172.3353708,-1.4551364
CONFIRMED,24.64745,1.56,,374.0,3951.0,0.52,172.3353708,-1.4551364
CONFIRMED,24.645013,1.9,,,3927.0,0.58,172.3353708,-1.4551364
CONFIRMED,24.6491,1.644,,,,0.553,172.3353708,-1.4551364
CONFIRMED,24.64354,1.85,3.3,344.0,3896.0,0.56,172.3353708,-1.4551364
CONFIRMED,44.55603,1.458,1.44,305.2,3844.0,0.546,172.3353708,-1.4551364
CONFIRMED,44.56115,1.7,,,3927.0,0.58,172.3353708,-1.4551364
CONFIRMED,44.55612,,,,3920.0,0.550856,172.3353708,-1.4551364
CONFIRMED,44.55765,1.61,1.5,300.0,,0.561,172.3353708,-1.4551364
CONFIRMED,44.5574,1.11,,,,0.371,172.3353708,-1.4551364
CONFIRMED,44.556456,1.62,1.6,312.0,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,44.5631,1.52,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,44.55646,,,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,44.556456,1.52,282.0,282.0,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,44.55983,1.51,1.5,282.0,3896.0,0.56,172.3353708,-1.4551364
CONFIRMED,44.5631,1.52,1.51,,3896.0,0.561,172.3353708,-1.4551364
CONFIRMED,44.5609,0.96,0.8,,3841.0,0.371,172.3353708,-1.4551364
CONFIRMED,44.5705,1.53,,,,0.553,172.3353708,-1.4551364
CONFIRMED,44.55764,1.65,,,3835.0,0.6,172.3353708,-1.4551364
CONFIRMED,4.09847804,,,,5425.0,0.844,52.3420548,22.2993491
CONFIRMED,4.098506,12.3,299.0,,5567.0,0.92,52.3420548,22.2993491
CONFIRMED,4.09847409321,14.83669218,319.8755,1078.61,5198.0,1.06395,52.3420548,22.2993491
CONFIRMED,4.098492,12.65164357,,,5574.0,0.909346,52.3420548,22.2993491
CONFIRMED,4.09803132,,,,5198.0,1.06395,52.3420548,22.2993491
CONFIRMED,4.09849,11.982421,,1203.0,5575.0,0.839,52.3420548,22.2993491
CONFIRMED,4.098507,13.405964,,1185.0,5581.0,0.941,52.3420548,22.2993491
CONFIRMED,4.0984897,13.14,,,,0.921,52.3420548,22.2993491
CONFIRMED,4.0984791,,,,5425.0,0.844,52.3420548,22.2993491
CONFIRMED,4.098503,11.646151,,1092.0,5425.0,0.844,52.3420548,22.2993491
CONFIRMED,3.38631713618,,512.9234,1213.76,5780.0,,78.3391194,16.4141986
CONFIRMED,3.38628,9.916,,,6100.0,1.24,78.3391194,16.4141986
CONFIRMED,1.25785,,,,5412.0,0.986,245.4405531,-23.548273
CONFIRMED,1.2578542,34.0,1272.0,,5465.0,0.9,245.4405531,-23.548273
CONFIRMED,1.25785,11.88154,,,5280.0,0.78,245.4405531,-23.548273
CONFIRMED,1.25784906,46.0,1930.0,1688.0,5340.0,1.138,245.4405531,-23.548273
CONFIRMED,1.2578332,,,,5340.0,1.02904,245.4405531,-23.548273
CONFIRMED,1.25784887,,,,5280.0,0.78,245.4405531,-23.548273
CONFIRMED,1.2578493,7.0,,,5251.0,0.81,245.4405531,-23.548273
CONFIRMED,1.25781300511,12.57069193,1564.287,1603.98,5340.0,1.02904,245.4405531,-23.548273
CONFIRMED,921.2,,,,5959.0,1.22,140.3390845,14.3678691
CONFIRMED,3.1443189,0.95,7.45,460.0,3300.0,0.196,228.0210932,-20.1081634
CONFIRMED,1.133,1.33,,841.0,3436.0,0.379,233.6247336,-23.2594663
CONFIRMED,5.26,1.83,,423.0,3436.0,0.379,233.6247336,-23.2594663
CONFIRMED,6.22,2.93,,432.0,3387.0,0.379,228.6188638,-21.0227209
CONFIRMED,7.01,1.66,,456.0,3851.0,0.552,232.4461375,-17.557463
CONFIRMED,26.68,2.79,,641.0,5440.0,0.898,166.8010058,3.0399357
CONFIRMED,8.99002105,,,,5274.0,0.851795,252.426008,-19.5430504
CONFIRMED,8.9919156,4.79,,,4686.0,0.72,252.426008,-19.5430504
CONFIRMED,8.991942,5.17103245,,,5415.0,0.839164,252.426008,-19.5430504
CONFIRMED,8.99218,5.38,,,5315.0,0.87,252.426008,-19.5430504
CONFIRMED,8.99213,5.62,100.0,,5428.0,0.92,252.426008,-19.5430504
CONFIRMED,8.991828,4.96,,,,0.845,252.426008,-19.5430504
CONFIRMED,8.992,5.299,,837.0,5271.0,0.86,252.426008,-19.5430504
CONFIRMED,17.97586029496,4.78034841,29.794,595.87,5274.0,0.851795,252.426008,-19.5430504
CONFIRMED,8.992018,4.92,,,,0.757,252.426008,-19.5430504
CONFIRMED,8.99218,5.38,82.9,769.0,5315.0,0.87,252.426008,-19.5430504
CONFIRMED,8.99213,5.13,77.7,817.0,5275.0,0.845,252.426008,-19.5430504
CONFIRMED,8.99196,5.038,79.5,761.0,5274.0,0.855,252.426008,-19.5430504
CONFIRMED,20.65614,3.48,27.4,583.0,5315.0,0.87,252.426008,-19.5430504
CONFIRMED,20.66186,2.74,,,,0.845,252.426008,-19.5430504
CONFIRMED,20.66093,3.01,26.2,577.0,5274.0,0.855,252.426008,-19.5430504
CONFIRMED,20.6602,3.32,33.0,,5428.0,0.92,252.426008,-19.5430504
CONFIRMED,20.65614,3.48,,,5315.0,0.87,252.426008,-19.5430504
CONFIRMED,20.660987,2.88,,,4686.0,0.72,252.426008,-19.5430504
CONFIRMED,20.6602,3.01,25.6,619.0,5275.0,0.845,252.426008,-19.5430504
CONFIRMED,20.66093,3.134,,634.0,5271.0,0.86,252.426008,-19.5430504
CONFIRMED,20.66178,2.73,,,,0.757,252.426008,-19.5430504
CONFIRMED,20.661623,3.11517954,,,5415.0,0.839164,252.426008,-19.5430504
CONFIRMED,31.71701,3.484,,550.0,5271.0,0.86,252.426008,-19.5430504
CONFIRMED,31.715868,3.13,,,4686.0,0.72,252.426008,-19.5430504
CONFIRMED,31.7154,3.77,18.7,,5428.0,0.92,252.426008,-19.5430504
CONFIRMED,31.7236,3.14,,,,0.757,252.426008,-19.5430504
CONFIRMED,31.7142,3.27,,,,0.845,252.426008,-19.5430504
CONFIRMED,31.71922,3.75,15.4,505.0,5315.0,0.87,252.426008,-19.5430504
CONFIRMED,31.7169,3.33,14.8,500.0,5274.0,0.855,252.426008,-19.5430504
