Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
FALSE POSITIVE,5.97581754,3.86,1047.0,284.25,6108.0,0.997,294.22397,40.417858
FALSE POSITIVE,2.446737317,26.25,1261.0,597.19,5764.0,0.863,298.96112,40.862808
CONFIRMED,3.04033046,8.99,1021.0,257.29,5035.0,0.791,299.3161,40.82238
CONFIRMED,15.33528675,5.0,610.0,32.67,5251.0,0.817,292.23676,41.08588
CONFIRMED,7.95825328,1.06,1074.0,314.15,5847.0,1.402,297.02826,48.208611
CONFIRMED,31.33046135,6.5,481.0,12.61,5251.0,0.817,292.23676,41.08588
FALSE POSITIVE,3.9043425,12.28,1104.0,351.05,5810.0,0.898,294.05676,40.549679
FALSE POSITIVE,9.286358079,17.61,796.0,95.03,5670.0,0.821,294.74396,40.53392
FALSE POSITIVE,3.951405455,31.44,1133.0,388.71,6046.0,0.869,295.50439,40.505489
CONFIRMED,23.65369415,7.89,731.0,67.65,5739.0,1.384,287.89713,40.637821
CONFIRMED,13.23352214,3.06,888.0,146.67,5739.0,1.384,287.89713,40.637821
CONFIRMED,6.15560285,2.32,1146.0,406.94,5739.0,1.384,287.89713,40.637821
CONFIRMED,2.090811305,1.62,1642.0,1718.04,5739.0,1.384,287.89713,40.637821
CONFIRMED,3.180027898,1.53,1458.0,1066.86,5847.0,1.402,297.02826,48.208611
CONFIRMED,50.4467417,2.67,568.0,24.64,5739.0,1.384,287.89713,40.637821
CONFIRMED,11.76307164,2.35,616.0,33.99,4959.0,0.756,294.20215,40.66341
CONFIRMED,56.2279271,2.37,366.0,4.22,4959.0,0.756,294.20215,40.66341
FALSE POSITIVE,2.384052875,17.06,1010.0,244.87,4794.0,0.701,299.64285,40.691238
CONFIRMED,7.953547,2.25,696.0,55.37,4768.0,0.779,291.15878,40.750271
CONFIRMED,4.14451656,1.48,864.0,132.08,4768.0,0.779,291.15878,40.750271
FALSE POSITIVE,4.859386384,38.33,1114.0,364.23,6072.0,0.988,292.21436,40.759762
CONFIRMED,10.526294577,8.24,713.0,61.16,5386.0,0.793,293.87811,41.66177
CONFIRMED,4.583520948,5.39,1038.0,274.98,5815.0,0.877,299.18686,41.74268
CONFIRMED,3.76181843,2.66,1121.0,372.62,5653.0,0.949,283.31638,41.83712
CONFIRMED,8.20396958,3.01,742.0,71.5,5015.0,0.826,286.5657,41.808399
CONFIRMED,14.49645186,3.01,613.0,33.48,5015.0,0.826,286.5657,41.808399
CONFIRMED,6.54626149,2.19,810.0,101.78,5251.0,0.817,292.23676,41.08588
CONFIRMED,12.71809866,2.31,562.0,23.6,4702.0,0.686,292.91312,41.060921
CONFIRMED,36.06588163,2.64,397.0,5.88,4702.0,0.686,292.91312,41.060921
CONFIRMED,4.190425659,6.21,1234.0,547.9,6073.0,1.135,293.49661,41.137589
CONFIRMED,3.709870784,4.35,1151.0,415.1,5727.0,0.978,283.86441,41.346458
CONFIRMED,16.3297527,3.75,727.0,66.08,5878.0,0.987,288.51001,41.301769
CONFIRMED,27.807566216,13.84,554.0,22.24,5862.0,0.785,296.88821,41.396091
CONFIRMED,80.8723469,7.59,452.0,9.88,5510.0,1.238,287.1543,41.565788
FALSE POSITIVE,3.166465862,26.82,954.0,196.31,4968.0,0.704,284.86929,41.679192
CONFIRMED,24.99324319,2.29,712.0,60.88,5718.0,1.317,287.36279,38.649601
CONFIRMED,10.35533116,2.47,777.0,86.22,5501.0,0.918,288.9942,41.633282
CONFIRMED,16.08518937,3.68,613.0,33.43,5239.0,0.826,292.10519,42.380322
CANDIDATE,235.9986399,10.59,188.0,0.29,4245.0,0.657,293.00797,42.307201
CONFIRMED,7.49018305,2.56,753.0,76.06,5103.0,0.787,291.63898,42.436321
CONFIRMED,36.2761238,3.03,445.0,9.29,5103.0,0.787,291.63898,42.436321
CONFIRMED,17.46087931,2.32,568.0,24.6,5103.0,0.787,291.63898,42.436321
CONFIRMED,56.0560754,1.94,233.0,0.69,3593.0,0.491,289.50848,41.812119
CONFIRMED,41.408316686,11.38,453.0,9.93,5522.0,0.747,291.76041,41.944069
CANDIDATE,39.74893077,14.21,552.0,21.87,6122.0,0.964,293.17929,41.969238
CONFIRMED,5.715425977,2.47,850.0,123.03,5237.0,0.826,285.11047,42.033958
CONFIRMED,49.18394185,8.2,669.0,47.4,5626.0,2.057,294.55917,46.062328
CONFIRMED,20.0261412,2.28,559.0,23.14,5237.0,0.826,285.11047,42.033958
CANDIDATE,13.61014819,19.02,733.0,68.29,5697.0,0.903,289.89777,42.009151
FALSE POSITIVE,10.44331991,2.66,667.0,46.94,4947.0,0.802,286.24356,42.148811
CONFIRMED,2.237489571,1.41,1160.0,427.17,5265.0,0.81,290.00757,42.116459
FALSE POSITIVE,5.851520671,14.62,901.0,155.89,5532.0,0.806,284.08731,42.233231
CONFIRMED,3.167893418,2.62,1221.0,526.23,5895.0,0.94,293.81647,42.212502
CONFIRMED,4.311780262,3.11,1038.0,274.84,5527.0,0.927,287.24268,42.301369
CONFIRMED,20.0504494,2.69,622.0,35.44,5527.0,0.927,287.24268,42.301369
CONFIRMED,9.76734503,2.67,791.0,92.46,5527.0,0.927,287.24268,42.301369
CANDIDATE,119.0207044,8.98,366.0,4.25,5453.0,1.062,291.58377,42.36816
CONFIRMED,190.3200468,7.78,426.0,7.8,5626.0,2.057,294.55917,46.062328
FALSE POSITIVE,2.861159894,4.37,1355.0,797.1,6126.0,1.021,291.67172,42.343109
CONFIRMED,26.44439337,3.91,562.0,23.54,5427.0,0.929,292.87338,42.966141
CONFIRMED,51.53997972,5.51,450.0,9.67,5427.0,0.929,292.87338,42.966141
CONFIRMED,5.902245782,2.43,926.0,173.74,5427.0,0.929,292.87338,42.966141
CONFIRMED,2.382951591,1.86,1253.0,583.01,5427.0,0.929,292.87338,42.966141
CONFIRMED,21.02250608,3.07,521.0,17.48,5067.0,0.75,294.90973,42.935261
CONFIRMED,3.219814777,1.69,998.0,234.93,5103.0,0.787,291.63898,42.436321
CONFIRMED,5.912273234,1.73,585.0,27.72,4072.0,0.57,292.13702,42.42942
CONFIRMED,8.98581901,1.65,509.0,15.9,4072.0,0.57,292.13702,42.42942
CANDIDATE,12.940668656,22.94,723.0,64.64,5875.0,0.809,291.11969,42.507069
FALSE POSITIVE,20.5452375,2.41,742.0,71.57,5670.0,1.264,294.40192,50.172089
CONFIRMED,33.60123371,8.46,495.0,14.22,5149.0,0.93,289.26874,42.604172
CONFIRMED,6.76652928,1.97,845.0,120.48,5149.0,0.93,289.26874,42.604172
CONFIRMED,4.347288783,2.36,1174.0,449.79,5754.0,1.122,291.96417,42.69614
CONFIRMED,4.601811819,2.35,896.0,152.91,4986.0,0.833,296.48343,42.663429
CONFIRMED,11.18719905,1.55,667.0,46.65,4986.0,0.833,296.48343,42.663429
CONFIRMED,4.220965778,2.62,595.0,29.68,3837.0,0.517,296.69394,42.62611
FALSE POSITIVE,6.998099523,588.66,853.0,125.22,5612.0,0.829,287.88412,42.832439
CONFIRMED,5.95489993,2.33,635.0,38.52,4261.0,0.633,293.63696,42.82497
CONFIRMED,12.03987488,2.18,502.0,15.06,4261.0,0.633,293.63696,42.82497
CONFIRMED,20.83762895,1.42,418.0,7.24,4261.0,0.633,293.63696,42.82497
FALSE POSITIVE,8.8111022,63.66,1399.0,904.92,6200.0,2.404,294.46088,38.383461
CONFIRMED,23.58917143,3.16,487.0,13.34,4919.0,0.721,297.46002,42.83992
CONFIRMED,6.481633073,2.54,1145.0,406.25,5945.0,1.302,290.39273,40.28487
CONFIRMED,10.37168928,3.2,720.0,63.68,5121.0,0.888,290.39322,43.363899
CONFIRMED,3.96996298,1.78,992.0,229.37,5121.0,0.888,290.39322,43.363899
CONFIRMED,4.40841331,2.66,1139.0,398.0,6007.0,0.961,292.96555,43.34639
FALSE POSITIVE,7.9426176,4.68,878.0,140.57,5811.0,0.926,299.00143,43.399632
CONFIRMED,226.8904775,4.53,236.0,0.73,5067.0,0.75,294.90973,42.935261
FALSE POSITIVE,1.956811408,21.58,1109.0,357.16,5209.0,0.603,295.83536,42.943062
CANDIDATE,2.688899233,12.04,929.0,175.76,4820.0,0.639,296.68307,42.967869
CONFIRMED,9.439459486,4.16,686.0,52.32,5097.0,0.779,288.64252,43.039291
CONFIRMED,11.523067458,3.13,927.0,174.81,5644.0,1.411,284.48245,44.398041
CONFIRMED,20.47748843,2.92,530.0,18.65,5097.0,0.779,288.64252,43.039291
CONFIRMED,3.336123113,1.74,970.0,209.79,5097.0,0.779,288.64252,43.039291
CONFIRMED,8.01078456,1.72,453.0,9.9,3713.0,0.47,294.77393,43.056301
CONFIRMED,12.07134205,1.29,395.0,5.74,3713.0,0.47,294.77393,43.056301
CONFIRMED,20.99587872,1.3,328.0,2.74,3713.0,0.47,294.77393,43.056301
CONFIRMED,7.41113177,2.45,905.0,158.11,5849.0,0.919,295.65149,43.029831
FALSE POSITIVE,1.000747038,4.14,1620.0,1635.2,5472.0,0.79,297.97513,43.164909
CONFIRMED,8.884922995,10.51,770.0,83.21,5332.0,0.843,291.1376,36.577381
CONFIRMED,8.09888906,8.95,986.0,223.19,6214.0,1.076,282.69952,43.272739
CONFIRMED,10.00653012,3.52,876.0,139.21,6063.0,1.001,283.63077,43.379398
CONFIRMED,17.855221681,13.16,911.0,163.04,6823.0,1.367,297.45374,41.01099
CANDIDATE,12.732624065,4.87,432.0,8.22,3950.0,0.541,285.16748,43.876339
CANDIDATE,83.92494032,4.78,226.0,0.62,3960.0,0.509,287.85239,43.897991
CONFIRMED,5.007316661,6.96,998.0,234.28,5865.0,0.827,295.53613,43.884449
CONFIRMED,2.211116989,1.85,931.0,177.19,4500.0,0.646,285.16833,44.026459
CONFIRMED,27.9541337,1.9,400.0,6.04,4500.0,0.646,285.16833,44.026459
CONFIRMED,12.69104387,2.57,1008.0,244.3,5869.0,1.626,292.92914,48.60281
FALSE POSITIVE,4.409409243,10.95,1101.0,347.06,5600.0,0.975,296.41019,43.455391
CONFIRMED,16.23947096,4.14,598.0,30.14,5191.0,0.837,293.0614,43.58136
CONFIRMED,6.308201629,2.96,819.0,106.44,5191.0,0.837,293.0614,43.58136
CONFIRMED,2.052349884,13.12,1497.0,1183.18,5855.0,1.08,299.56189,43.503559
CONFIRMED,9.7704486,2.23,460.0,10.59,3906.0,0.509,282.23251,43.66563
CONFIRMED,5.169804269,1.66,569.0,24.75,3906.0,0.509,282.23251,43.66563
CONFIRMED,21.22261195,2.48,771.0,83.56,5945.0,1.302,290.39273,40.28487
CONFIRMED,20.09017037,2.25,362.0,4.05,3906.0,0.509,282.23251,43.66563
CONFIRMED,7.11373257,1.16,429.0,8.01,3561.0,0.411,296.98505,43.65852
CONFIRMED,3.306551643,0.91,554.0,22.19,3561.0,0.411,296.98505,43.65852
CONFIRMED,15.36845737,1.11,332.0,2.86,3561.0,0.411,296.98505,43.65852
CONFIRMED,13.81020318,4.56,833.0,113.75,5942.0,1.142,281.96063,43.70311
CONFIRMED,4.093578461,2.85,1182.0,461.07,6077.0,0.999,290.26328,44.55645
CONFIRMED,105.145959,3.43,401.0,6.09,6077.0,0.999,290.26328,44.55645
CONFIRMED,10.8484518,2.34,499.0,14.66,4201.0,0.591,295.57935,44.545959
CONFIRMED,6.66833241,1.18,587.0,28.06,4201.0,0.591,295.57935,44.545959
CONFIRMED,4.082274889,10.55,1016.0,251.48,5655.0,0.794,284.83047,44.658138
CANDIDATE,3.886655224,1.87,1010.0,246.29,5662.0,0.738,288.72665,44.60751
CONFIRMED,42.1406089,1.85,349.0,3.49,4500.0,0.646,285.16833,44.026459
CONFIRMED,4.617490562,1.62,728.0,66.47,4500.0,0.646,285.16833,44.026459
CONFIRMED,10.19849255,1.75,559.0,23.11,4500.0,0.646,285.16833,44.026459
FALSE POSITIVE,5.795063956,4.33,950.0,192.74,5865.0,0.827,296.50754,44.036072
CONFIRMED,7.15681552,2.47,782.0,88.23,5029.0,0.838,289.59476,44.141949
CONFIRMED,17.64830851,2.43,579.0,26.49,5029.0,0.838,289.59476,44.141949
CONFIRMED,4.14810719,1.08,938.0,182.76,5029.0,0.838,289.59476,44.141949
CONFIRMED,16.51410989,2.72,655.0,43.57,5527.0,0.866,296.56622,44.105862
CONFIRMED,30.1329298,3.14,536.0,19.55,5527.0,0.866,296.56622,44.105862
CONFIRMED,4.79090809,1.36,990.0,227.24,5527.0,0.866,296.56622,44.105862
CONFIRMED,31.71981013,3.09,743.0,71.97,5869.0,1.626,292.92914,48.60281
CONFIRMED,99.6415962,2.64,360.0,3.97,5527.0,0.866,296.56622,44.105862
CONFIRMED,4.708326451,10.6,1162.0,431.02,5560.0,1.21,298.63565,44.17094
FALSE POSITIVE,16.37198661,540.37,438.0,8.71,4187.0,0.592,298.67862,44.175499
CONFIRMED,5.392026903,2.68,850.0,123.33,5198.0,0.801,284.43051,44.48053
CANDIDATE,2.494170338,2.42,1194.0,480.19,5569.0,0.829,284.75943,45.599129
CONFIRMED,6.491682808,9.66,1062.0,301.54,6123.0,1.107,285.55481,45.578861
FALSE POSITIVE,3.044770796,24.54,1076.0,317.36,5525.0,0.753,293.68494,45.51683
CONFIRMED,3.855603916,13.61,1212.0,508.65,6033.0,1.046,296.39316,45.568562
FALSE POSITIVE,3.855599139,3.57,1158.0,425.74,5936.0,0.965,296.39542,45.56992
CONFIRMED,38.47876629,13.26,484.0,13.01,5510.0,0.879,288.90222,49.370491
FALSE POSITIVE,37.601661282,27.22,606.0,31.86,6140.0,1.096,282.30603,44.714661
CONFIRMED,3.314947362,3.94,1155.0,421.03,5609.0,0.944,293.45483,44.792789
FALSE POSITIVE,6.71969089,4.37,952.0,194.18,5931.0,0.866,301.04956,44.706299
CONFIRMED,39.6431552,10.98,472.0,11.74,5231.0,0.9,283.97751,44.811562
FALSE POSITIVE,51.42598578,29.66,549.0,21.4,6257.0,1.147,290.63898,44.806789
CONFIRMED,21.80451611,2.6,543.0,20.48,5481.0,0.708,291.71732,44.88731
CONFIRMED,10.28194593,2.53,680.0,50.6,5196.0,0.775,291.84198,44.858089
CONFIRMED,18.11993039,2.95,563.0,23.77,5196.0,0.775,291.84198,44.858089
CONFIRMED,3.78402867,1.7,949.0,191.78,5196.0,0.775,291.84198,44.858089
CONFIRMED,5.15448142,2.94,964.0,204.1,5431.0,0.884,294.84689,45.034409
FALSE POSITIVE,33.80364366,20.7,745.0,72.71,5855.0,1.796,297.47586,41.114288
CONFIRMED,5.743469797,3.13,982.0,219.95,5897.0,0.891,291.09235,45.115528
